"Estoque";"Linha";"País";"Região";"Produtor";"Vinho";"Safra";"Volume (L)";"Preço"
"1";"Autoral";"PRT";"ALENTEJO";"OUTEIROS ALTOS";"CONSTANÇA VAI À VINHA - NAS BARRICAS";"2020";"0.75";"R$ 205"
"1";"Signature";"CHL";"SAN ROMAN";"AQUITANIA";"DOMAINE PAUL BRUNO";"2020";"0.75";"R$ 230"
"1";"Autoral";"FRA";"BEAUJOLAIS";"MEE GODARD";"MORGON CORCELETTE";"2021";"0.75";"R$ 353"
"1";"Signature";"PRT";"ALENTEJO";"ARREPIADO";"ARREPIADO TRADIÇÃO";"2021";"0.75";"R$ 404"
"1";"Autoral";"FRA";"BORGONHA";"JEAN CHARTRON";"RULLY MONTMORIN";"2022";"0.75";"R$ 414"
"1";"Autoral";"FRA";"BORGONHA";"JEAN-LOUIS CHAVY";"BOURGOGNE CHARDONNAY";"2021";"0.75";"R$ 437"
"1";"Autoral";"ITA";"TOSCANA";"CAPARSA";"DOCCIO A MATTEO CHIANTI CLASSICO RISERVA DOCG";"2015";"0.75";"R$ 479"
"1";"Signature";"ESP";"TORO";"SAN ROMÁN";"GARNACHA";"2021";"0.75";"R$ 597"
"1";"Autoral";"FRA";"BORGONHA";"MICHEL JUILLOT";"MERCUREY 1ER CRU LES CHAMPS MARTINS";"2023";"0.75";"R$ 611"
"1";"Autoral";"FRA";"BORGONHA";"CHANTAL LESCURE";"POMMARD LES VAUMURIENS";"2020";"0.75";"R$ 665"
"1";"Autoral";"FRA";"BORGONHA";"CHANTAL LESCURE";"NUITS SAINT GEORGES ""LES CREUX FRAICHES EAUX""";"2022";"0.75";"R$ 1124"
"1";"Autoral";"FRA";"BORGONHA";"CHANTAL LESCURE";"NUITS SAINT GEORGES 1ER CRU LES VALLEROTS";"2020";"0.75";"R$ 1188"
"1";"Autoral";"ITA";"PIEMONTE";"ALARIO CLAUDIO";"BAROLO D.O.C.G. ""RIVA ROCCA"" MAGNUM";"2021";"1.5";"R$ 1299"
"1";"Signature";"PRT";"ALENTEJO";"ARREPIADO";"AMMA";"2020";"0.75";"R$ 1352"
"1";"Signature";"ITA";"TOSCANA";"TENUTA DI BISERNO";"BISERNO";"2020";"0.75";"R$ 1731"
"1";"Signature";"FRA";"BORDEAUX";"PAVIE-DECESSE";"CHATEAU PAVIE-DECESSE";"2007";"0.75";"R$ 2397"
"1";"Signature";"ITA";"TOSCANA";"ORNELLAIA S.R.L";"LE SERRE NUOVE DELL'ORNELLAIA DOUBLE MAGNUM";"2021";"0.75";"R$ 3928"
"1";"Autoral";"FRA";"BORGONHA";"PERROT-MINOT";"MOREY SAINT DENIS 1ER CRU ""LA RIOTTE""";"2022";"0.75";"R$ 4178"
"1";"Signature";"FRA";"BORGONHA";"MONGEARD-MUGNERET";"CLOS DE VOUGEOT";"2021";"0.75";"R$ 4673"
"1";"Autoral";"FRA";"BORGONHA";"PERROT-MINOT";"CHAMBOLLE MUSIGNY 1ER CRU ""LES FUES""";"2022";"0.75";"R$ 7413"
"1";"Signature";"FRA";"BORDEAUX";"CHATEAU D YQUEM";"CHATEAU D YQUEM";"2011";"0.75";"R$ 7545"
"1";"Signature";"FRA";"BORDEAUX";"CHATEAU D YQUEM";"CHATEAU D YQUEM";"2010";"0.75";"R$ 7922"
"1";"Signature";"FRA";"BORDEAUX";"CHATEAU D YQUEM";"CHATEAU D YQUEM";"2016";"0.75";"R$ 8048"
"1";"Signature";"FRA";"BORDEAUX";"CLARENCE DILLON";"CHATEAU HAUT BRION";"2006";"0.75";"R$ 11448"
"2";"Signature";"ITA";"ALTO ADIGE";"FRANZ HAAS";"LEPUS";"2022";"0.75";"R$ 198"
"2";"Autoral";"FRA";"BORGONHA";"TRAPET ALSACE";"K.T.Z.M. R. KIENTZHEIM RIESLING";"2023";"0.75";"R$ 315"
"2";"Autoral";"ESP";"PRIORAT";"CLOS DE L’OBAC";"USATGES";"2021";"0.75";"R$ 342"
"2";"Autoral";"FRA";"BORGONHA";"CHANTAL LESCURE";"BOURGOGNE ROUGE ""LES VERDUNS""";"2022";"0.75";"R$ 395"
"2";"Autoral";"ITA";"TOSCANA";"BOSCARELLI";"FAMILIAE OCCHIO DI PERNICE VIN SANTO DI MONTEPULCIANO DOC HALF BOTTLE";"2015";"0.375";"R$ 539"
"2";"Autoral";"DEU";"RHEINHESSEN";"BATTENFELD SPANIER";"KIRCHENSTÜCK RIESLING GG";"2022";"0.75";"R$ 751"
"2";"Signature";"FRA";"BORDEAUX";"CHATEAU BON PASTEUR";"CHATEAU LE BON PASTEUR";"2020";"0.75";"R$ 1088"
"2";"Signature";"ESP";"RIOJA";"BODEGAS RODA S.A";"BODEGAS RODA SELA DOUBLE MAGNUM";"2022";"0.75";"R$ 1204"
"2";"Autoral";"ITA";"PIEMONTE";"ALARIO CLAUDIO";"BAROLO D.O.C.G. ""SORANO"" MAGNUM";"2021";"1.5";"R$ 1467"
"2";"Autoral";"FRA";"BORGONHA";"CHANTAL LESCURE";"VOSNE ROMANÉE 1ER CRU ""LES SUCHOTS""";"2022";"0.75";"R$ 2485"
"2";"Signature";"FRA";"BORGONHA";"MONGEARD-MUGNERET";"SAVIGNY-LES-BEAUNE 1ER CRU ""LES NARBANTONS"" MAGNUM";"2022";"1.5";"R$ 2645"
"2";"Autoral";"ESP";"PRIORAT";"CLOS DE L’OBAC";"CLOS DE L'OBAC MAGNUM";"2007";"1.5";"R$ 3393"
"2";"Signature";"FRA";"BORDEAUX";"LEOVILLE LAS CASES";"GRAND VIN DE LEOVILLE DU MARQUIS DE LAS CASES";"2010";"0.75";"R$ 6046"
"2";"Signature";"ITA";"TOSCANA";"ORNELLAIA S.R.L";"ORNELLAIA DOUBLE MAGNUM";"2021";"0.75";"R$ 13527"
"2";"Autoral";"FRA";"BORGONHA";"DOMAINE JEAN GRIVOT";"RICHEBOURG";"2022";"0.75";"R$ 27437"
"3";"Autoral";"ITA";"PIEMONTE";"RIVETTO";"KASKAL";"N.V.";"0.75";"R$ 430"
"3";"Signature";"FRA";"BORGONHA";"MONGEARD-MUGNERET";"BOURGOGNE HAUTES-CÔTES DE NUITS ""LES DAMES HUGUETTES""";"2022";"0.75";"R$ 585"
"3";"Autoral";"ITA";"PIEMONTE";"OLEK BONDONIO";"BARBARESCO DOCG STARDERI";"2021";"0.75";"R$ 822"
"3";"Signature";"ITA";"PIEMONTE";"BRAIDA";"BARBERA D'ASTI DOCG BRICCO DELL'UCCELLONE";"2020";"0.75";"R$ 856"
"3";"Autoral";"FRA";"BORGONHA";"TRAPET ALSACE";"SCHOENENBOURG GRAND CRU";"2019";"0.75";"R$ 857"
"3";"Autoral";"PRT";"DOURO";"NICOLAU DE ALMEIDA";"VINTAGE";"2019";"0.75";"R$ 915"
"3";"Autoral";"ITA";"PIEMONTE";"CONTERNO FANTINO";"BAROLO DOCG MOSCONI VIGNA PED";"2021";"0.75";"R$ 1190"
"3";"Signature";"ESP";"RIBERA DEL DUERO";"BODEGAS LA HORRA S.L";"CORIMBO DOUBLE MAGNUM";"2019";"0.75";"R$ 1524"
"3";"Signature";"FRA";"BORDEAUX";"CHATEAU D YQUEM";"Y D'YQUEM";"2021";"0.75";"R$ 3165"
"3";"Signature";"FRA";"BORDEAUX";"CHATEAU MONTROSE";"CHATEAU MONTROSE";"2018";"0.75";"R$ 3527"
"3";"Signature";"FRA";"BORDEAUX";"LEOVILLE LAS CASES";"GRAND VIN DE LEOVILLE DU MARQUIS DE LAS CASES";"2017";"0.75";"R$ 3628"
"3";"Autoral";"FRA";"BORGONHA";"PERROT-MINOT";"VOSNE ROMANEE ""JUBILE 30 ANS""";"2022";"0.75";"R$ 3639"
"3";"Signature";"FRA";"BORDEAUX";"CHATEAU MONTROSE";"CHATEAU MONTROSE";"2019";"0.75";"R$ 4031"
"3";"Signature";"FRA";"BORDEAUX";"LEOVILLE LAS CASES";"GRAND VIN DE LEOVILLE DU MARQUIS DE LAS CASES";"2015";"0.75";"R$ 4283"
"3";"Signature";"ESP";"RIOJA";"BODEGAS RODA S.A";"CIRSION DOUBLE MAGNUM";"2016";"0.75";"R$ 11356"
"3";"Signature";"FRA";"BORDEAUX";"CHATEAU D YQUEM";"VERTICAL CHATEAU D YQUEM (91 | 97 | 98 | 00 | 04 | 05 | 06 | 08 | 10 | 11 | 14 | 15 | 16)";"-";"9.75";"R$ 100842"
