C�digo;Produto; Custo de compra ;
485;Arroz para Risoto com Trufas Negras 450g; R$ 56,39 ;
484;Azeite com Trufas Brancas 250 ml; R$ 67,69 ;
483;Azeite com Trufas Negras 250ml; R$ 67,69 ;
127;Champagne Louis Roederer Collection 244 Brut - Louis Roederer; R$ 376,61 ;
41;Champagne Moët & Chandon Imperial Extra Brut - Moët & Chandon; R$ 443,98 ;
34;Champagne Taittinger Réserve Brut - Taittinger; R$ 381,92 ;
42;Champagne Veuve Clicquot Brut - Veuve Clicquot; R$ 395,39 ;
488;Champanheira Transparente Comnéctar; R$ 53,29 ;
532;ESP BABY FREIXENET ICE 200ML UN 200ML QTD. 3.00 UN; R$ 26,46 ;
434;Espumante 130 Brut - Valduga; R$ 85,76 ;
433;Espumante Blanc de Blanc - Cave Geisse; R$ 123,02 ;
343;Espumante Blanc de Noir Brut - Don Giovanni; R$ 85,53 ;
443;Espumante Nature - Cave Geisse; R$ 100,62 ;
344;Espumante Stravaganzza Brut - Don Giovanni; R$ 67,83 ;
256;Le Haut Medoc Tinto Blend 2018 - Chateau Giscours; R$ 221,19 ;
52;Napa Valley Tinto Cabernet Sauvignon 2019 - Robert Mondavi; R$ 411,67 ;
486;Polenta com Trufas 400g; R$ 56,39 ;
490;Saca Rolha High Teck All Black Comnéctar; R$ 24,13 ;
193;Taça Bordeaux - 590ml; R$ 63,23 ;
194;Taça Bourgogne - 960ml; R$ 52,83 ;
489;Taça Espumante 160ml Branca Comnéctar; R$ 18,27 ;
198;Taça Red - 730ml; R$ 234,17 ;
192;Taça Universal - 530ml; R$ 38,42 ;
237;Vinho Branco Alto do Joa 2019 - Casa do Joa; R$ 301,38 ;
236;Vinho Branco Ameixâmbar 2021 - Adega do Vulcão; R$ 351,74 ;
444;Vinho Branco Atlantico Sur Reserve Albariño 2024 - Familia Deicas; R$ 72,86 ;
415;Vinho Branco Bourgogne AOC Blanc 2022 - Joseph Drouhin; R$ 252,91 ;
358;Vinho Branco Bourgogne Chardonnay 2023 - Aurore Bachelet; R$ 238,71 ;
517;Vinho Branco Chablis Depaquit 2023 - Albert Bichot; R$ 187,58 ;
516;Vinho Branco Chablis Premier Cru Fourchaume 2024 - Albert Bichot; R$ 331,88 ;
414;Vinho Branco Chateau Marjosse Bordeaux Banc 2022 - Chateau Marjosse; R$ 162,45 ;
422;Vinho Branco Coelheiros 2024 - Tapada de Coelheiros; R$ 158,83 ;
161;Vinho Branco Collection 2022 - Herdade do Arrepiado Velho; R$ 188,50 ;
368;Vinho Branco Etna DOC Bianco Superiore 2023 - Barone Di Villagrande; R$ 212,27 ;
210;Vinho Branco Garzón Reserva Albariño 2024 - Bodega Garzón; R$ 88,11 ;
595;Vinho Branco Garzón Reserva Albariño 2025 - Bodega Garzón; R$ -   ;
180;Vinho Branco Gran Reserva Chardonnay 2023 - Escorihuela Gascón; R$ 91,00 ;
418;Vinho Branco Greco Di Tufo DOCG 2024 - Mastroberardino; R$ 238,43 ;
376;Vinho Branco L'Altro Chardonnay 2024 - Pio Cesare; R$ 213,16 ;
413;Vinho Branco La Ferme Julien Blanc 2023 - La Vieille Ferme; R$ 99,51 ;
439;Vinho Branco Louis Jadot Bourgogne Chardonnay 2023 - Louis Jadot; R$ 194,90 ;
95;Vinho Branco Louis Jadot Chablis 2022 - Louis Jadot; R$ 205,10 ;
431;Vinho Branco Louis Jadot Chablis 2023 - Louis Jadot; R$ 235,97 ;
110;Vinho Branco Louis Jadot Petit Chablis 2022 - Louis Jadot; R$ 190,20 ;
430;Vinho Branco Louis Jadot Petit Chablis 2023 - Louis Jadot; R$ 218,81 ;
386;Vinho Branco Mâcon-Villages 2022 - Joseph Drouhin; R$ 216,72 ;
